target_date,generated_at,rank,fixture_id,home_team,away_team,forecast_confidence,forecast_warning,portfolio_status,context_level,market_hint,stat_profile,primary_stat_market,secondary_stat_market,execution_permission,stake_band,translation_score,translation_reason,kill_switch,source_guard,auto_apply,production_change
2026-05-28,2026-05-28T09:27:07+01:00,1,1535228,River Plate,Blooming,MEDIUM,LINEUPS_INACTIVE,NO_PORTFOLIO_CONTEXT,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BALANCED_THREAT,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,26,stat_score=36; confidence=MEDIUM 71.6; portfolio=NO_PORTFOLIO_CONTEXT; no portfolio/context confirmation and score not strong enough,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,2,1535220,RB Bragantino,Carabobo FC,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,NO_PORTFOLIO_CONTEXT,,OVER_OR_BTTS_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,23,stat_score=41; confidence=MEDIUM 62.6; portfolio=NO_PORTFOLIO_CONTEXT; no portfolio/context confirmation and score not strong enough,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,3,1535317,Corinthians,Platense,MEDIUM,LINEUPS_INACTIVE,NO_PORTFOLIO_CONTEXT,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BOTH_TEAMS_THREAT,BTTS_YES_REVIEW,OVER_1_5_REVIEW,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,6,stat_score=16; confidence=MEDIUM 71.6; portfolio=NO_PORTFOLIO_CONTEXT; no portfolio/context confirmation and score not strong enough,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,4,1535327,Palmeiras,Junior,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,REVIEW_ONLY,L6_REVIEW,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,HIGH_TEMPO | MEDIUM_SHOT_VOLUME | HIGH_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,CORNERS_OVER_8_5_REVIEW,CORNERS_OVER_9_5_AGGRESSIVE,LIVE_ONLY,SYMBOLIC_ONLY,5,stat_score=17; confidence=MEDIUM 62.6; portfolio=REVIEW_ONLY; lineups/context require live or prelock confirmation,NONE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,5,1535316,Cerro Porteno,Sporting Cristal,MEDIUM,LINEUPS_INACTIVE,NO_PORTFOLIO_CONTEXT,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,UNDER_3_5_REVIEW,NO_GOALS_AGGRESSION,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,2,stat_score=12; confidence=MEDIUM 71.6; portfolio=NO_PORTFOLIO_CONTEXT; no portfolio/context confirmation and score not strong enough,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,6,1535321,Fluminense,Deportivo La Guaira,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,NO_PORTFOLIO_CONTEXT,,OVER_OR_BTTS_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | LOW_CORNER_VOLUME | MEDIUM_CARD_RISK | BOTH_TEAMS_THREAT,BTTS_YES_REVIEW,OVER_1_5_REVIEW,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,-2,stat_score=16; confidence=MEDIUM 62.6; portfolio=NO_PORTFOLIO_CONTEXT; negative translation score after guards,NEGATIVE_TRANSLATION_SCORE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,7,1535328,Penarol,Santa Fe,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,NO_PORTFOLIO_CONTEXT,,OVER_OR_BTTS_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | LOW_CORNER_VOLUME | HIGH_CARD_RISK | BALANCED_THREAT,CARDS_OVER_3_5_REVIEW,CARDS_OVER_4_5_AGGRESSIVE,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,-10,stat_score=8; confidence=MEDIUM 62.6; portfolio=NO_PORTFOLIO_CONTEXT; negative translation score after guards,NEGATIVE_TRANSLATION_SCORE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,8,1535315,Bolívar,Independ. Rivadavia,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,LIVE_ONLY_OR_SYMBOLIC,L7_SOFT_DOWN,OVER_OR_BTTS_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-24,stat_score=0; confidence=MEDIUM 62.6; portfolio=LIVE_ONLY_OR_SYMBOLIC; no stat market has enough support,NEGATIVE_TRANSLATION_SCORE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,9,1545404,Casa Pia,Torreense,LOW,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,LOW_TEMPO | LOW_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BALANCED_THREAT,UNDER_3_5_REVIEW,NO_GOALS_AGGRESSION,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,-34,stat_score=20; confidence=LOW 49.6; portfolio=NO_PORTFOLIO_CONTEXT; low forecast confidence blocks execution; watch only,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,10,1533657,El Geish,Wadi Degla,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 55.6; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T09:27:07+01:00,11,1533661,Ismaily SC,Pharco,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 55.6; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
