target_date,generated_at,source_path,rows,same_day_rows,accepted_rows,rejected_rows,status,detail,auto_apply,production_change
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/batch_inputs/vsigma_api_board_candidates_2026-06-15.csv,0,0,0,0,EMPTY_OR_UNREADABLE,file has no readable CSV rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/batch_inputs/vsigma_api_board_candidates_2026-06-18.csv,0,0,0,0,EMPTY_OR_UNREADABLE,file has no readable CSV rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/batch_inputs/vsigma_api_board_candidates_2026-06-28.csv,0,0,0,0,EMPTY_OR_UNREADABLE,file has no readable CSV rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/candidate_v4_historical/vsigma_candidate_v4_historical_by_date.csv,16,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/candidate_v4_historical/vsigma_candidate_v4_historical_firewall_decisions.csv,6,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/candidate_v5_historical/vsigma_candidate_v5_historical_by_date.csv,16,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/candidate_v5_historical/vsigma_candidate_v5_historical_player_impact_adjustments.csv,3,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/candidate_v6_historical/vsigma_candidate_v6_historical_by_date.csv,16,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/candidate_v6_historical/vsigma_candidate_v6_historical_predictions_benchmark_rows.csv,22,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/candidate_v7_historical/vsigma_candidate_v7_historical_by_date.csv,16,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/candidate_v7_historical/vsigma_candidate_v7_historical_price_guard_rows.csv,22,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/governance/vsigma_adhoc_fixture_forecast_mexico_vs_south_africa.csv,1,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/governance/vsigma_adhoc_match_stat_forecast_mexico_vs_south_africa.csv,1,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/governance/vsigma_adhoc_postmatch_learning_all_2026-06-11.csv,1,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/governance/vsigma_api_board_candidate_bridge_2026-06-15.csv,1,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/governance/vsigma_api_board_candidate_bridge_2026-06-18.csv,1,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/governance/vsigma_api_board_candidate_bridge_2026-06-28.csv,1,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
2026-06-30,2026-06-30T20:14:28+01:00,data/processed/governance/vsigma_api_board_candidate_bridge_skipped_2026-06-15.csv,1,0,0,0,NO_SAME_DAY_ROWS,file has no target-date rows,NO,NO
